code,status,action_taken,cms_ccs
A4154,NEW,emitted CC(s): 2,2
C50A0,NEW,emitted CC(s): 22;23,22;23
C50A1,NEW,emitted CC(s): 22;23,22;23
C50A2,NEW,emitted CC(s): 22;23,22;23
C810A,NEW,emitted CC(s): 21,21
C811A,NEW,emitted CC(s): 21,21
C812A,NEW,emitted CC(s): 21,21
C813A,NEW,emitted CC(s): 21,21
C814A,NEW,emitted CC(s): 21,21
C817A,NEW,emitted CC(s): 21,21
C819A,NEW,emitted CC(s): 21,21
C820A,NEW,emitted CC(s): 21,21
C821A,NEW,emitted CC(s): 21,21
C822A,NEW,emitted CC(s): 21,21
C823A,NEW,emitted CC(s): 21,21
C824A,NEW,emitted CC(s): 21,21
C825A,NEW,emitted CC(s): 21,21
C826A,NEW,emitted CC(s): 21,21
C828A,NEW,emitted CC(s): 21,21
C829A,NEW,emitted CC(s): 21,21
C830A,NEW,emitted CC(s): 21,21
C831A,NEW,emitted CC(s): 20,20
C83390,NEW,emitted CC(s): 20,20
C83398,NEW,emitted CC(s): 20,20
C833A,NEW,emitted CC(s): 20,20
C835A,NEW,emitted CC(s): 20,20
C837A,NEW,emitted CC(s): 20,20
C838A,NEW,emitted CC(s): 21,21
C839A,NEW,emitted CC(s): 21,21
C840A,NEW,emitted CC(s): 20,20
C841A,NEW,emitted CC(s): 17,17
C844A,NEW,emitted CC(s): 19,19
C846A,NEW,emitted CC(s): 20,20
C847B,NEW,emitted CC(s): 19,19
C849A,NEW,emitted CC(s): 20,20
C84AA,NEW,emitted CC(s): 20,20
C84ZA,NEW,emitted CC(s): 20,20
C851A,NEW,emitted CC(s): 21,21
C852A,NEW,emitted CC(s): 21,21
C858A,NEW,emitted CC(s): 21,21
C859A,NEW,emitted CC(s): 21,21
C8600,NEW,emitted CC(s): 20,20
C8601,NEW,emitted CC(s): 20,20
C8610,NEW,emitted CC(s): 20,20
C8611,NEW,emitted CC(s): 20,20
C8620,NEW,emitted CC(s): 20,20
C8621,NEW,emitted CC(s): 20,20
C8630,NEW,emitted CC(s): 19,19
C8631,NEW,emitted CC(s): 19,19
C8640,NEW,emitted CC(s): 19,19
C8641,NEW,emitted CC(s): 19,19
C8650,NEW,emitted CC(s): 19,19
C8651,NEW,emitted CC(s): 19,19
C8660,NEW,emitted CC(s): 20,20
C8661,NEW,emitted CC(s): 20,20
C8800,NEW,emitted CC(s): 21,21
C8801,NEW,emitted CC(s): 21,21
C8820,NEW,emitted CC(s): 21,21
C8821,NEW,emitted CC(s): 21,21
C8830,NEW,emitted CC(s): 21,21
C8831,NEW,emitted CC(s): 21,21
C8840,NEW,emitted CC(s): 21,21
C8841,NEW,emitted CC(s): 21,21
C8880,NEW,emitted CC(s): 21,21
C8881,NEW,emitted CC(s): 21,21
C8890,NEW,emitted CC(s): 21,21
C8891,NEW,emitted CC(s): 21,21
D5704,NEW,emitted CC(s): 107,107
D57214,NEW,emitted CC(s): 108,108
D57414,NEW,emitted CC(s): 108,108
D57434,NEW,emitted CC(s): 107,107
