category,cn_aged,cn_disabled,cp_aged,cp_disabled,cf_aged,cf_disabled
F0_34,0.6,0.5,0.4,0.3,0.2,0.1
F35_44,0.6,0.5,0.4,0.3,0.2,0.1
F45_54,0.6,0.5,0.4,0.3,0.2,0.1
F55_59,0.6,0.5,0.4,0.3,0.2,0.1
F60_64,0.6,0.5,0.4,0.3,0.2,0.1
F65_69,0.6,0.5,0.4,0.3,0.2,0.1
F70_74,0.6,0.5,0.4,0.3,0.2,0.1
F75_79,0.6,0.5,0.4,0.3,0.2,0.1
F80_84,0.6,0.5,0.4,0.3,0.2,0.1
F85_89,0.6,0.5,0.4,0.3,0.2,0.1
F90_94,0.6,0.5,0.4,0.3,0.2,0.1
F95_GT,0.6,0.5,0.4,0.3,0.2,0.1
M0_34,0.6,0.5,0.4,0.3,0.2,0.1
M35_44,0.6,0.5,0.4,0.3,0.2,0.1
M45_54,0.6,0.5,0.4,0.3,0.2,0.1
M55_59,0.6,0.5,0.4,0.3,0.2,0.1
M60_64,0.6,0.5,0.4,0.3,0.2,0.1
M65_69,0.6,0.5,0.4,0.3,0.2,0.1
M70_74,0.6,0.5,0.4,0.3,0.2,0.1
M75_79,0.6,0.5,0.4,0.3,0.2,0.1
M80_84,0.6,0.5,0.4,0.3,0.2,0.1
M85_89,0.6,0.5,0.4,0.3,0.2,0.1
M90_94,0.6,0.5,0.4,0.3,0.2,0.1
M95_GT,0.6,0.5,0.4,0.3,0.2,0.1
Medicaid,0.6,0.5,0.4,0.3,0.2,0.1
"Originally Disabled, Female",0.6,0.5,0.4,0.3,0.2,0.1
"Originally Disabled, Male",0.6,0.5,0.4,0.3,0.2,0.1
HCC1,0.6,0.5,0.4,0.3,0.2,0.1
HCC2,0.6,0.5,0.4,0.3,0.2,0.1
HCC6,0.6,0.5,0.4,0.3,0.2,0.1
HCC8,0.6,0.5,0.4,0.3,0.2,0.1
HCC9,0.6,0.5,0.4,0.3,0.2,0.1
HCC10,0.6,0.5,0.4,0.3,0.2,0.1
HCC11,0.6,0.5,0.4,0.3,0.2,0.1
HCC12,0.6,0.5,0.4,0.3,0.2,0.1
HCC17,0.6,0.5,0.4,0.3,0.2,0.1
HCC18,0.6,0.5,0.4,0.3,0.2,0.1
HCC19,0.6,0.5,0.4,0.3,0.2,0.1
HCC21,0.6,0.5,0.4,0.3,0.2,0.1
HCC22,0.6,0.5,0.4,0.3,0.2,0.1
HCC23,0.6,0.5,0.4,0.3,0.2,0.1
HCC27,0.6,0.5,0.4,0.3,0.2,0.1
HCC28,0.6,0.5,0.4,0.3,0.2,0.1
HCC29,0.6,0.5,0.4,0.3,0.2,0.1
HCC33,0.6,0.5,0.4,0.3,0.2,0.1
HCC34,0.6,0.5,0.4,0.3,0.2,0.1
HCC35,0.6,0.5,0.4,0.3,0.2,0.1
HCC39,0.6,0.5,0.4,0.3,0.2,0.1
HCC40,0.6,0.5,0.4,0.3,0.2,0.1
HCC46,0.6,0.5,0.4,0.3,0.2,0.1
HCC47,0.6,0.5,0.4,0.3,0.2,0.1
HCC48,0.6,0.5,0.4,0.3,0.2,0.1
HCC51,0.6,0.5,0.4,0.3,0.2,0.1
HCC52,0.6,0.5,0.4,0.3,0.2,0.1
HCC54,0.6,0.5,0.4,0.3,0.2,0.1
HCC55,0.6,0.5,0.4,0.3,0.2,0.1
HCC56,0.6,0.5,0.4,0.3,0.2,0.1
HCC57,0.6,0.5,0.4,0.3,0.2,0.1
HCC58,0.6,0.5,0.4,0.3,0.2,0.1
HCC59,0.6,0.5,0.4,0.3,0.2,0.1
HCC60,0.6,0.5,0.4,0.3,0.2,0.1
HCC70,0.6,0.5,0.4,0.3,0.2,0.1
HCC71,0.6,0.5,0.4,0.3,0.2,0.1
HCC72,0.6,0.5,0.4,0.3,0.2,0.1
HCC73,0.6,0.5,0.4,0.3,0.2,0.1
HCC74,0.6,0.5,0.4,0.3,0.2,0.1
HCC75,0.6,0.5,0.4,0.3,0.2,0.1
HCC76,0.6,0.5,0.4,0.3,0.2,0.1
HCC77,0.6,0.5,0.4,0.3,0.2,0.1
HCC78,0.6,0.5,0.4,0.3,0.2,0.1
HCC79,0.6,0.5,0.4,0.3,0.2,0.1
HCC80,0.6,0.5,0.4,0.3,0.2,0.1
HCC82,0.6,0.5,0.4,0.3,0.2,0.1
HCC83,0.6,0.5,0.4,0.3,0.2,0.1
HCC84,0.6,0.5,0.4,0.3,0.2,0.1
HCC85,0.6,0.5,0.4,0.3,0.2,0.1
HCC86,0.6,0.5,0.4,0.3,0.2,0.1
HCC87,0.6,0.5,0.4,0.3,0.2,0.1
HCC88,0.6,0.5,0.4,0.3,0.2,0.1
HCC96,0.6,0.5,0.4,0.3,0.2,0.1
HCC99,0.6,0.5,0.4,0.3,0.2,0.1
HCC100,0.6,0.5,0.4,0.3,0.2,0.1
HCC103,0.6,0.5,0.4,0.3,0.2,0.1
HCC104,0.6,0.5,0.4,0.3,0.2,0.1
HCC106,0.6,0.5,0.4,0.3,0.2,0.1
HCC107,0.6,0.5,0.4,0.3,0.2,0.1
HCC108,0.6,0.5,0.4,0.3,0.2,0.1
HCC110,0.6,0.5,0.4,0.3,0.2,0.1
HCC111,0.6,0.5,0.4,0.3,0.2,0.1
HCC112,0.6,0.5,0.4,0.3,0.2,0.1
HCC114,0.6,0.5,0.4,0.3,0.2,0.1
HCC115,0.6,0.5,0.4,0.3,0.2,0.1
HCC122,0.6,0.5,0.4,0.3,0.2,0.1
HCC124,0.6,0.5,0.4,0.3,0.2,0.1
HCC134,0.6,0.5,0.4,0.3,0.2,0.1
HCC135,0.6,0.5,0.4,0.3,0.2,0.1
