model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,MAGE_LAST_21_24,0.189,0.128,0.086,0.057,0.056
Adult,MAGE_LAST_25_29,0.197,0.133,0.088,0.056,0.055
Adult,MAGE_LAST_30_34,0.230,0.160,0.110,0.073,0.072
Adult,MAGE_LAST_35_39,0.249,0.174,0.119,0.077,0.076
Adult,MAGE_LAST_40_44,0.282,0.203,0.143,0.095,0.094
Adult,MAGE_LAST_45_49,0.312,0.228,0.164,0.112,0.111
Adult,MAGE_LAST_50_54,0.381,0.290,0.218,0.161,0.160
Adult,MAGE_LAST_55_59,0.428,0.330,0.254,0.191,0.189
Adult,MAGE_LAST_60_GT,0.472,0.365,0.282,0.212,0.210
Adult,FAGE_LAST_21_24,0.285,0.196,0.127,0.078,0.076
Adult,FAGE_LAST_25_29,0.308,0.212,0.137,0.082,0.081
Adult,FAGE_LAST_30_34,0.370,0.268,0.188,0.126,0.125
Adult,FAGE_LAST_35_39,0.428,0.323,0.239,0.174,0.172
Adult,FAGE_LAST_40_44,0.482,0.372,0.284,0.211,0.209
Adult,FAGE_LAST_45_49,0.481,0.369,0.277,0.200,0.198
Adult,FAGE_LAST_50_54,0.519,0.404,0.307,0.226,0.224
Adult,FAGE_LAST_55_59,0.482,0.368,0.271,0.191,0.189
Adult,FAGE_LAST_60_GT,0.475,0.358,0.261,0.179,0.176
Adult,HHS_HCC001,0.342,0.265,0.234,0.197,0.196
Adult,HHS_HCC002,9.075,8.875,8.830,8.740,8.739
Adult,HHS_HCC003,8.379,8.276,8.229,8.151,8.149
Adult,HHS_HCC004,8.328,8.217,8.161,8.071,8.068
Adult,HHS_HCC006,8.532,8.478,8.419,8.333,8.330
Adult,HHS_HCC008,23.002,22.629,22.616,22.506,22.506
Adult,HHS_HCC009,12.575,12.312,12.271,12.156,12.155
Adult,HHS_HCC010,5.705,5.535,5.473,5.362,5.360
Adult,HHS_HCC011,3.651,3.476,3.405,3.283,3.280
Adult,HHS_HCC012,2.424,2.295,2.230,2.129,2.127
Adult,HHS_HCC013,0.967,0.875,0.785,0.677,0.674
Adult,HHS_HCC018,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC019,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC020,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC021,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC022,0.311,0.282,0.244,0.180,0.178
Adult,HHS_HCC023,11.342,11.221,11.179,11.105,11.104
Adult,HHS_HCC026,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC027,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC029,6.512,6.413,6.373,6.305,6.303
Adult,HHS_HCC030,1.314,1.237,1.184,1.108,1.104
Adult,HHS_HCC034,6.014,6.070,6.119,6.189,6.189
Adult,HHS_HCC035_1,7.464,7.288,7.254,7.181,7.184
Adult,HHS_HCC035_2,2.319,2.160,2.125,2.042,2.041
Adult,HHS_HCC036,0.613,0.534,0.490,0.417,0.416
Adult,HHS_HCC037_1,0.514,0.454,0.403,0.348,0.347
Adult,HHS_HCC037_2,0.514,0.454,0.403,0.348,0.347
Adult,HHS_HCC041,6.014,6.070,6.119,6.189,6.189
Adult,HHS_HCC042,11.053,10.907,10.903,10.857,10.857
Adult,HHS_HCC045,5.038,4.837,4.783,4.669,4.668
Adult,HHS_HCC046,2.467,2.298,2.253,2.167,2.166
Adult,HHS_HCC047,2.467,2.298,2.251,2.147,2.146
Adult,HHS_HCC048,1.108,1.023,0.944,0.820,0.816
Adult,HHS_HCC054,8.617,8.468,8.446,8.388,8.388
Adult,HHS_HCC055,4.567,4.401,4.381,4.321,4.322
Adult,HHS_HCC056,1.082,0.993,0.930,0.845,0.843
Adult,HHS_HCC057,0.399,0.329,0.249,0.146,0.142
Adult,HHS_HCC061,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC062,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC063,0.922,0.819,0.759,0.678,0.676
Adult,HHS_HCC066,72.761,72.491,72.466,72.379,72.380
Adult,HHS_HCC067,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC068,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC069,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC070,1.690,1.607,1.553,1.479,1.477
Adult,HHS_HCC071,1.690,1.607,1.553,1.479,1.477
Adult,HHS_HCC073,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC074,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC075,2.148,2.068,2.020,1.947,1.946
Adult,HHS_HCC081,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC082,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC083,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC084,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC087_1,2.227,2.063,1.986,1.864,1.862
Adult,HHS_HCC087_2,2.190,2.030,1.951,1.820,1.818
Adult,HHS_HCC088,0.969,0.871,0.786,0.672,0.669
Adult,HHS_HCC090,0.663,0.586,0.492,0.379,0.376
Adult,HHS_HCC094,2.000,1.894,1.827,1.722,1.719
Adult,HHS_HCC096,8.590,8.557,8.527,8.484,8.481
Adult,HHS_HCC097,0.938,0.875,0.826,0.764,0.763
Adult,HHS_HCC102,0.718,0.641,0.553,0.455,0.452
Adult,HHS_HCC103,0.663,0.586,0.492,0.379,0.376
