category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
M0_34,0.0,0.178,0.0,0.598,2.504,0.0,0.0,0.0
M35_44,0.0,0.225,0.0,0.646,2.215,0.0,0.0,0.0
M45_54,0.0,0.286,0.0,0.585,1.876,0.0,0.0,0.0
M55_59,0.0,0.298,0.0,0.479,1.42,0.0,0.0,0.0
M60_64,0.0,0.282,0.0,0.359,1.094,0.0,0.0,0.0
M65_69,0.168,0.0,0.309,0.0,1.097,0.0,0.0,0.0
M70_74,0.144,0.0,0.226,0.0,0.793,0.0,0.0,0.0
M75_79,0.061,0.0,0.133,0.0,0.641,0.0,0.0,0.0
M80_84,0.061,0.0,0.029,0.0,0.458,0.0,0.0,0.0
M85_89,0.061,0.0,0.029,0.0,0.278,0.0,0.0,0.0
M90_94,0.061,0.0,0.029,0.0,0.167,0.0,0.0,0.0
M95_GT,0.061,0.0,0.029,0.0,0.031,0.0,0.0,0.0
F0_34,0.0,0.218,0.0,0.499,2.382,0.0,0.0,0.0
F35_44,0.0,0.327,0.0,0.694,2.673,0.0,0.0,0.0
F45_54,0.0,0.358,0.0,0.714,2.023,0.0,0.0,0.0
F55_59,0.0,0.322,0.0,0.558,1.67,0.0,0.0,0.0
F60_64,0.0,0.248,0.0,0.346,1.385,0.0,0.0,0.0
F65_69,0.122,0.0,0.299,0.0,1.453,0.0,0.0,0.0
F70_74,0.114,0.0,0.045,0.0,1.106,0.0,0.0,0.0
F75_79,0.04,0.0,0.045,0.0,0.794,0.0,0.0,0.0
F80_84,0.04,0.0,0.045,0.0,0.546,0.0,0.0,0.0
F85_89,0.04,0.0,0.045,0.0,0.353,0.0,0.0,0.0
F90_94,0.04,0.0,0.045,0.0,0.196,0.0,0.0,0.0
F95_GT,0.04,0.0,0.045,0.0,0.039,0.0,0.0,0.0
M65OD,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0
F65OD,0.064,0.0,0.314,0.0,0.0,0.0,0.0,0.0
OD65,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0
RXHCC1,8.523,10.433,9.763,10.27,6.53,0.0,0.0,0.0
RXHCC5,0.468,0.611,0.662,0.541,0.509,0.0,0.0,0.0
RXHCC15,6.175,5.271,15.008,20.324,10.151,0.0,0.0,0.0
RXHCC16,14.205,15.685,12.359,13.011,4.514,0.0,0.0,0.0
RXHCC17,6.175,5.271,9.943,9.097,4.514,0.0,0.0,0.0
RXHCC18,1.949,1.977,3.43,3.371,0.95,0.0,0.0,0.0
RXHCC19,1.949,1.746,2.574,2.483,0.95,0.0,0.0,0.0
RXHCC20,0.491,0.388,1.025,0.75,0.312,0.0,0.0,0.0
RXHCC21,0.41,0.135,0.372,0.267,0.142,0.0,0.0,0.0
RXHCC22,0.124,0.135,0.279,0.267,0.142,0.0,0.0,0.0
RXHCC30,0.495,0.537,0.941,1.426,0.903,0.0,0.0,0.0
RXHCC31,0.171,0.162,0.329,0.498,0.35,0.0,0.0,0.0
RXHCC40,3.73,8.556,7.759,10.698,1.452,0.0,0.0,0.0
RXHCC41,3.081,13.907,2.583,19.382,0.283,0.0,0.0,0.0
RXHCC42,2.11,4.246,2.718,6.251,0.717,0.0,0.0,0.0
RXHCC43,0.063,0.154,0.0,0.153,0.102,0.0,0.0,0.0
RXHCC44,0.07,0.16,0.154,0.296,0.148,0.0,0.0,0.0
RXHCC47,0.0,0.0,0.033,0.112,0.057,0.0,0.0,0.0
RXHCC54,0.714,0.843,1.004,0.821,1.129,0.0,0.0,0.0
RXHCC55,0.714,0.843,1.004,0.821,1.129,0.0,0.0,0.0
RXHCC56,0.351,0.666,1.238,0.765,0.339,0.0,0.0,0.0
RXHCC59,1.081,1.44,1.492,2.322,1.341,0.0,0.0,0.0
RXHCC65,0.351,0.65,0.6,0.93,0.583,0.0,0.0,0.0
RXHCC66,0.245,0.65,0.48,0.93,0.357,0.0,0.0,0.0
RXHCC67,0.494,0.505,1.127,2.316,0.45,0.0,0.0,0.0
RXHCC80,0.204,0.211,0.193,0.365,0.201,0.0,0.0,0.0
RXHCC81,0.758,0.603,4.614,7.449,2.552,0.0,0.0,0.0
RXHCC82,0.975,0.64,1.811,1.959,0.471,0.0,0.0,0.0
RXHCC83,0.222,0.311,1.113,1.959,0.471,0.0,0.0,0.0
RXHCC84,0.113,0.239,0.249,0.351,0.127,0.0,0.0,0.0
RXHCC87,0.055,0.196,0.228,0.432,0.0,0.0,0.0,0.0
RXHCC95,0.0,0.575,0.0,1.809,0.012,0.0,0.0,0.0
RXHCC96,0.722,0.55,0.82,1.033,0.223,0.0,0.0,0.0
RXHCC98,12.046,57.445,18.171,57.829,0.555,0.0,0.0,0.0
RXHCC99,0.943,0.622,1.471,1.33,0.852,0.0,0.0,0.0
RXHCC100,0.304,0.16,1.51,1.738,0.979,0.0,0.0,0.0
