category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
M0_34,0.0,0.177,0.0,0.596,2.494,0.0,0.0,0.0
M35_44,0.0,0.225,0.0,0.642,2.208,0.0,0.0,0.0
M45_54,0.0,0.287,0.0,0.582,1.87,0.0,0.0,0.0
M55_59,0.0,0.299,0.0,0.477,1.422,0.0,0.0,0.0
M60_64,0.0,0.284,0.0,0.357,1.096,0.0,0.0,0.0
M65_69,0.168,0.0,0.308,0.0,1.094,0.0,0.0,0.0
M70_74,0.144,0.0,0.225,0.0,0.793,0.0,0.0,0.0
M75_79,0.061,0.0,0.133,0.0,0.64,0.0,0.0,0.0
M80_84,0.061,0.0,0.029,0.0,0.459,0.0,0.0,0.0
M85_89,0.061,0.0,0.029,0.0,0.279,0.0,0.0,0.0
M90_94,0.061,0.0,0.029,0.0,0.169,0.0,0.0,0.0
M95_GT,0.061,0.0,0.029,0.0,0.033,0.0,0.0,0.0
F0_34,0.0,0.217,0.0,0.492,2.364,0.0,0.0,0.0
F35_44,0.0,0.327,0.0,0.689,2.659,0.0,0.0,0.0
F45_54,0.0,0.36,0.0,0.711,2.02,0.0,0.0,0.0
F55_59,0.0,0.324,0.0,0.557,1.667,0.0,0.0,0.0
F60_64,0.0,0.25,0.0,0.348,1.385,0.0,0.0,0.0
F65_69,0.123,0.0,0.299,0.0,1.448,0.0,0.0,0.0
F70_74,0.114,0.0,0.045,0.0,1.104,0.0,0.0,0.0
F75_79,0.04,0.0,0.045,0.0,0.793,0.0,0.0,0.0
F80_84,0.04,0.0,0.045,0.0,0.546,0.0,0.0,0.0
F85_89,0.04,0.0,0.045,0.0,0.353,0.0,0.0,0.0
F90_94,0.04,0.0,0.045,0.0,0.196,0.0,0.0,0.0
F95_GT,0.04,0.0,0.045,0.0,0.039,0.0,0.0,0.0
M65OD,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0
F65OD,0.064,0.0,0.314,0.0,0.0,0.0,0.0,0.0
OD65,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0
RXHCC1,8.6,10.526,9.721,10.232,6.509,0.0,0.0,0.0
RXHCC5,0.462,0.602,0.655,0.541,0.513,0.0,0.0,0.0
RXHCC15,6.212,5.29,15.122,20.493,10.251,0.0,0.0,0.0
RXHCC16,14.258,15.781,12.415,13.095,4.537,0.0,0.0,0.0
RXHCC17,6.212,5.29,10.006,9.133,4.537,0.0,0.0,0.0
RXHCC18,1.926,1.98,3.424,3.361,0.944,0.0,0.0,0.0
RXHCC19,1.926,1.705,2.526,2.436,0.944,0.0,0.0,0.0
RXHCC20,0.494,0.387,1.023,0.748,0.312,0.0,0.0,0.0
RXHCC21,0.399,0.134,0.362,0.267,0.144,0.0,0.0,0.0
RXHCC22,0.125,0.134,0.281,0.267,0.144,0.0,0.0,0.0
RXHCC30,0.499,0.539,0.944,1.432,0.908,0.0,0.0,0.0
RXHCC31,0.172,0.162,0.329,0.497,0.35,0.0,0.0,0.0
RXHCC40,3.764,8.639,7.461,10.248,1.434,0.0,0.0,0.0
RXHCC41,3.086,14.007,2.582,19.376,0.304,0.0,0.0,0.0
RXHCC42,2.104,4.202,2.702,6.142,0.703,0.0,0.0,0.0
RXHCC43,0.063,0.153,0.0,0.146,0.098,0.0,0.0,0.0
RXHCC44,0.071,0.16,0.153,0.294,0.148,0.0,0.0,0.0
RXHCC47,0.0,0.0,0.033,0.113,0.058,0.0,0.0,0.0
RXHCC54,0.721,0.851,1.004,0.825,1.12,0.0,0.0,0.0
RXHCC55,0.721,0.851,1.004,0.825,1.12,0.0,0.0,0.0
RXHCC56,0.353,0.669,1.235,0.77,0.343,0.0,0.0,0.0
RXHCC59,1.09,1.452,1.463,2.257,1.319,0.0,0.0,0.0
RXHCC65,0.355,0.65,0.603,0.923,0.585,0.0,0.0,0.0
RXHCC66,0.246,0.65,0.481,0.923,0.358,0.0,0.0,0.0
RXHCC67,0.499,0.51,1.131,2.321,0.454,0.0,0.0,0.0
RXHCC80,0.207,0.213,0.194,0.361,0.199,0.0,0.0,0.0
