category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
M0_34,0.0,0.181,0.0,0.715,2.151,0.0,0.0,0.0
M35_44,0.0,0.241,0.0,0.689,1.847,0.0,0.0,0.0
M45_54,0.0,0.217,0.0,0.541,1.451,0.0,0.0,0.0
M55_59,0.0,0.194,0.0,0.38,1.13,0.0,0.0,0.0
M60_64,0.0,0.188,0.0,0.229,0.882,0.0,0.0,0.0
M65_69,0.175,0.0,0.329,0.0,0.896,0.0,0.0,0.0
M70_74,0.146,0.0,0.24,0.0,0.698,0.0,0.0,0.0
M75_79,0.049,0.0,0.171,0.0,0.482,0.0,0.0,0.0
M80_84,0.049,0.0,0.038,0.0,0.282,0.0,0.0,0.0
M85_89,0.049,0.0,0.038,0.0,0.084,0.0,0.0,0.0
M90_94,0.049,0.0,0.038,0.0,0.084,0.0,0.0,0.0
M95_GT,0.049,0.0,0.038,0.0,0.084,0.0,0.0,0.0
F0_34,0.0,0.328,0.0,0.69,2.656,0.0,0.0,0.0
F35_44,0.0,0.363,0.0,0.837,2.4,0.0,0.0,0.0
F45_54,0.0,0.334,0.0,0.772,1.543,0.0,0.0,0.0
F55_59,0.0,0.242,0.0,0.497,1.455,0.0,0.0,0.0
F60_64,0.0,0.165,0.0,0.257,1.098,0.0,0.0,0.0
F65_69,0.122,0.0,0.108,0.0,1.211,0.0,0.0,0.0
F70_74,0.035,0.0,0.108,0.0,0.923,0.0,0.0,0.0
F75_79,0.035,0.0,0.108,0.0,0.628,0.0,0.0,0.0
F80_84,0.035,0.0,0.108,0.0,0.328,0.0,0.0,0.0
F85_89,0.035,0.0,0.108,0.0,0.187,0.0,0.0,0.0
F90_94,0.035,0.0,0.108,0.0,0.01,0.0,0.0,0.0
F95_GT,0.035,0.0,0.108,0.0,0.01,0.0,0.0,0.0
M65OD,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0
F65OD,0.042,0.0,0.376,0.0,0.0,0.0,0.0,0.0
OD65,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0
RXHCC1,8.325,9.961,9.677,9.773,7.179,0.0,0.0,0.0
RXHCC5,0.654,0.564,0.828,0.537,0.323,0.0,0.0,0.0
RXHCC15,4.907,4.016,14.57,22.052,9.021,0.0,0.0,0.0
RXHCC16,11.15,10.209,12.238,11.536,5.396,0.0,0.0,0.0
RXHCC17,4.907,4.016,12.083,10.952,5.396,0.0,0.0,0.0
RXHCC18,2.456,2.192,4.53,3.803,1.275,0.0,0.0,0.0
RXHCC19,2.456,2.192,3.712,3.413,1.275,0.0,0.0,0.0
RXHCC20,0.595,0.471,1.347,0.962,0.397,0.0,0.0,0.0
RXHCC21,0.595,0.267,0.749,0.359,0.255,0.0,0.0,0.0
RXHCC22,0.123,0.072,0.436,0.359,0.206,0.0,0.0,0.0
RXHCC30,0.567,0.682,0.983,1.53,0.756,0.0,0.0,0.0
RXHCC31,0.248,0.281,0.429,0.695,0.326,0.0,0.0,0.0
RXHCC40,2.571,6.735,7.006,8.774,1.117,0.0,0.0,0.0
RXHCC41,4.668,10.426,6.058,20.506,0.033,0.0,0.0,0.0
RXHCC42,2.401,3.395,2.778,5.559,0.905,0.0,0.0,0.0
RXHCC43,0.038,0.143,0.0,0.142,0.033,0.0,0.0,0.0
RXHCC44,0.068,0.161,0.152,0.339,0.157,0.0,0.0,0.0
RXHCC47,0.0,0.0,0.047,0.096,0.022,0.0,0.0,0.0
RXHCC54,0.253,0.317,0.267,0.073,0.536,0.0,0.0,0.0
RXHCC55,0.253,0.317,0.267,0.073,0.536,0.0,0.0,0.0
RXHCC56,0.264,0.604,1.274,0.806,0.641,0.0,0.0,0.0
RXHCC59,1.003,1.345,1.597,2.139,1.53,0.0,0.0,0.0
RXHCC65,0.375,0.612,0.771,1.26,0.644,0.0,0.0,0.0
