category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
M0_34,0.0,0.372,0.0,0.617,2.637,0.0,0.0,0.0
M35_44,0.0,0.305,0.0,0.581,2.103,0.0,0.0,0.0
M45_54,0.0,0.27,0.0,0.506,1.443,0.0,0.0,0.0
M55_59,0.0,0.309,0.0,0.352,1.165,0.0,0.0,0.0
M60_64,0.0,0.288,0.0,0.296,0.992,0.0,0.0,0.0
M65_69,0.215,0.0,0.3,0.0,0.966,0.0,0.0,0.0
M70_74,0.201,0.0,0.268,0.0,0.724,0.0,0.0,0.0
M75_79,0.175,0.0,0.21,0.0,0.52,0.0,0.0,0.0
M80_84,0.072,0.0,0.113,0.0,0.35,0.0,0.0,0.0
M85_89,0.072,0.0,0.054,0.0,0.235,0.0,0.0,0.0
M90_94,0.072,0.0,0.054,0.0,0.096,0.0,0.0,0.0
M95_GT,0.072,0.0,0.054,0.0,0.025,0.0,0.0,0.0
F0_34,0.0,0.675,0.0,0.525,3.226,0.0,0.0,0.0
F35_44,0.0,0.581,0.0,0.694,2.241,0.0,0.0,0.0
F45_54,0.0,0.457,0.0,0.616,1.614,0.0,0.0,0.0
F55_59,0.0,0.196,0.0,0.411,1.505,0.0,0.0,0.0
F60_64,0.0,0.222,0.0,0.28,1.286,0.0,0.0,0.0
F65_69,0.136,0.0,0.076,0.0,1.233,0.0,0.0,0.0
F70_74,0.036,0.0,0.076,0.0,0.984,0.0,0.0,0.0
F75_79,0.036,0.0,0.076,0.0,0.714,0.0,0.0,0.0
F80_84,0.036,0.0,0.076,0.0,0.415,0.0,0.0,0.0
F85_89,0.036,0.0,0.076,0.0,0.253,0.0,0.0,0.0
F90_94,0.036,0.0,0.076,0.0,0.069,0.0,0.0,0.0
F95_GT,0.036,0.0,0.076,0.0,0.069,0.0,0.0,0.0
M65OD,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0
F65OD,0.045,0.0,0.317,0.0,0.0,0.0,0.0,0.0
OD65,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0
RXHCC1,9.794,10.931,10.513,9.946,7.831,0.0,0.0,0.0
RXHCC5,0.612,0.237,0.625,0.093,0.191,0.0,0.0,0.0
RXHCC15,6.057,5.951,14.475,21.701,9.849,0.0,0.0,0.0
RXHCC16,14.286,11.089,12.949,12.082,5.84,0.0,0.0,0.0
RXHCC17,6.057,5.951,12.055,10.885,5.84,0.0,0.0,0.0
RXHCC18,3.401,3.448,4.667,4.731,1.461,0.0,0.0,0.0
RXHCC19,3.401,3.448,4.667,4.542,1.461,0.0,0.0,0.0
RXHCC20,0.832,0.859,1.442,1.113,0.46,0.0,0.0,0.0
RXHCC21,0.832,0.849,1.203,0.685,0.46,0.0,0.0,0.0
RXHCC22,0.15,0.06,0.549,0.599,0.266,0.0,0.0,0.0
RXHCC30,0.616,0.629,0.953,1.306,0.602,0.0,0.0,0.0
RXHCC31,0.299,0.53,0.442,0.726,0.295,0.0,0.0,0.0
RXHCC40,2.285,9.734,7.528,7.492,0.481,0.0,0.0,0.0
RXHCC41,8.193,17.187,10.641,22.27,0.446,0.0,0.0,0.0
RXHCC42,3.42,3.618,2.404,6.539,0.196,0.0,0.0,0.0
RXHCC43,0.072,0.027,0.0,0.224,0.045,0.0,0.0,0.0
RXHCC44,0.052,0.054,0.17,0.285,0.167,0.0,0.0,0.0
RXHCC47,0.0,0.0,0.091,0.081,0.015,0.0,0.0,0.0
RXHCC54,0.104,0.309,0.157,0.06,0.483,0.0,0.0,0.0
RXHCC55,0.104,0.309,0.157,0.06,0.483,0.0,0.0,0.0
RXHCC56,0.533,0.091,1.362,1.135,0.087,0.0,0.0,0.0
RXHCC59,1.089,0.96,1.751,1.849,0.777,0.0,0.0,0.0
RXHCC65,0.423,1.254,0.889,1.495,0.596,0.0,0.0,0.0
RXHCC66,0.299,1.254,0.889,1.495,0.535,0.0,0.0,0.0
RXHCC67,0.551,1.344,1.463,3.538,0.483,0.0,0.0,0.0
RXHCC80,0.23,0.696,0.42,0.516,0.0,0.0,0.0,0.0
RXHCC81,0.933,1.212,6.741,9.493,3.567,0.0,0.0,0.0
RXHCC82,1.691,1.179,1.954,2.809,0.489,0.0,0.0,0.0
RXHCC83,0.172,0.517,1.619,2.809,0.489,0.0,0.0,0.0
RXHCC84,0.146,0.375,0.478,0.69,0.085,0.0,0.0,0.0
RXHCC87,0.06,0.141,0.307,0.651,0.078,0.0,0.0,0.0
RXHCC95,0.0,0.117,0.38,1.515,0.0,0.0,0.0,0.0
RXHCC96,1.038,1.554,1.177,1.464,0.264,0.0,0.0,0.0
RXHCC98,11.918,59.861,23.444,54.317,0.044,0.0,0.0,0.0
RXHCC99,0.948,0.427,1.012,1.122,0.45,0.0,0.0,0.0
RXHCC100,0.7,0.218,2.993,2.378,1.697,0.0,0.0,0.0
RXHCC111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC130,0.362,0.361,0.972,1.729,0.669,0.0,0.0,0.0
RXHCC131,0.324,0.198,0.704,0.862,0.451,0.0,0.0,0.0
RXHCC132,0.039,0.0,0.255,0.277,0.11,0.0,0.0,0.0
RXHCC133,0.009,0.0,0.0,0.155,0.0,0.0,0.0,0.0
RXHCC146,1.009,0.0,0.303,0.106,0.0,0.0,0.0,0.0
RXHCC147,1.009,0.0,0.224,0.106,0.0,0.0,0.0,0.0
RXHCC148,1.009,0.0,0.166,0.068,0.0,0.0,0.0,0.0
RXHCC153,2.558,5.852,3.713,6.817,0.493,0.0,0.0,0.0
RXHCC154,4.954,5.955,3.108,4.788,1.723,0.0,0.0,0.0
RXHCC155,0.099,0.363,0.0,0.541,0.101,0.0,0.0,0.0
RXHCC157,5.388,12.024,7.375,11.003,1.0,0.0,0.0,0.0
RXHCC158,0.085,0.172,0.084,0.318,0.0,0.0,0.0,0.0
RXHCC159,1.087,1.266,3.313,5.281,1.411,0.0,0.0,0.0
RXHCC160,2.477,3.268,5.604,5.907,5.534,0.0,0.0,0.0
RXHCC161,0.498,1.129,0.775,1.254,0.985,0.0,0.0,0.0
RXHCC163,0.107,0.359,0.533,3.471,0.0,0.0,0.0,0.0
RXHCC164,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0
RXHCC166,0.139,0.364,1.023,0.8,0.425,0.0,0.0,0.0
RXHCC168,0.045,0.0,0.289,0.149,0.194,0.0,0.0,0.0
RXHCC183,3.492,12.784,4.137,12.805,0.719,0.0,0.0,0.0
RXHCC184,0.357,0.782,0.226,0.53,0.188,0.0,0.0,0.0
RXHCC186,0.26,0.074,0.226,0.229,0.149,0.0,0.0,0.0
RXHCC187,0.032,0.0,0.094,0.106,0.04,0.0,0.0,0.0
RXHCC188,0.036,0.0,0.184,0.0,0.0,0.0,0.0,0.0
RXHCC191,0.335,0.28,0.107,0.0,0.2,0.0,0.0,0.0
RXHCC193,0.238,0.0,0.134,0.0,0.226,0.0,0.0,0.0
RXHCC207,0.0,0.0,0.492,0.0,0.0,0.0,0.0,0.0
RXHCC215,0.239,0.493,0.1,0.117,0.154,0.0,0.0,0.0
RXHCC225,19.75,47.448,6.369,56.541,7.056,0.0,0.0,0.0
RXHCC226,3.873,1.606,5.809,4.774,1.395,0.0,0.0,0.0
RXHCC227,0.576,0.541,0.902,1.574,0.393,0.0,0.0,0.0
RXHCC228,0.795,0.991,2.942,3.063,1.435,0.0,0.0,0.0
RXHCC229,0.192,0.123,0.387,0.32,0.393,0.0,0.0,0.0
RXHCC243,0.124,0.219,0.476,0.477,0.296,0.0,0.0,0.0
RXHCC244,0.019,0.14,0.093,0.0,0.019,0.0,0.0,0.0
RXHCC260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC311,0.047,0.0,0.0,0.0,0.046,0.0,0.0,0.0
RXHCC314,0.348,1.523,1.376,2.015,0.207,0.0,0.0,0.0
RXHCC316,0.286,0.596,2.492,3.842,1.25,0.0,0.0,0.0
RXHCC317,0.146,0.375,0.457,0.0,0.085,0.0,0.0,0.0
RXHCC355,1.515,4.057,2.09,6.008,0.594,0.0,0.0,0.0
RXHCC395,4.047,3.927,4.204,2.826,2.18,0.0,0.0,0.0
RXHCC396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_RXHCC1,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.0
NONAGED_RXHCC130,0.0,0.0,0.0,0.0,1.054,0.0,0.0,0.0
NONAGED_RXHCC131,0.0,0.0,0.0,0.0,0.823,0.0,0.0,0.0
NONAGED_RXHCC132,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0
NONAGED_RXHCC133,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0
NONAGED_RXHCC159,0.0,0.0,0.0,0.0,1.982,0.0,0.0,0.0
NONAGED_RXHCC163,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0
NESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.667
NESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.667
NESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.391
NESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.087
NESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.087
NESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,0.531,1.122,2.087
NESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.575,0.83,2.087
NESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.588,0.803,1.805
NESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.669,0.803,1.805
NESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.669,0.724,1.501
NESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.669,0.657,1.501
NESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.804,0.657,1.315
NESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.804,0.591,1.315
NESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.762,0.591,1.315
NESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.834
NESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.527
