category,DIAL,GRAFT_COMM,GRAFT_INST,NE_DIAL_NMCAID_NORIGDIS,NE_DIAL_MCAID_NORIGDIS,NE_DIAL_NMCAID_ORIGDIS,NE_DIAL_MCAID_ORIGDIS,NE_GRAFT_NMCAID_NORIGDIS,NE_GRAFT_MCAID_NORIGDIS,NE_GRAFT_NMCAID_ORIGDIS,NE_GRAFT_MCAID_ORIGDIS
F0_34,0.618,0.196,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F35_44,0.567,0.219,1.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F45_54,0.522,0.256,0.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F55_59,0.535,0.306,1.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F60_64,0.553,0.36,1.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F65_69,0.635,0.291,1.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F70_74,0.653,0.35,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F75_79,0.658,0.406,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F80_84,0.671,0.48,0.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F85_89,0.671,0.59,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F90_94,0.671,0.724,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F95_GT,0.671,0.737,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M0_34,0.527,0.067,1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M35_44,0.502,0.076,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M45_54,0.478,0.149,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M55_59,0.495,0.226,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M60_64,0.498,0.297,1.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M65_69,0.562,0.274,1.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M70_74,0.611,0.353,1.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M75_79,0.634,0.425,1.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M80_84,0.652,0.499,1.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M85_89,0.663,0.625,1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M90_94,0.663,0.775,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M95_GT,0.663,0.914,0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Female,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Male,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Originally_ESRD_Female,-0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Originally_ESRD_Male,-0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAID,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAID_Female_Aged,0.067,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAID_Female_NonAged,0.065,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAID_Male_Aged,0.122,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAID_Male_NonAged,0.09,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC1,0.154,0.35,1.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC2,0.081,0.428,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC6,0.052,0.426,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC8,0.295,2.627,1.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC9,0.169,0.975,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC10,0.136,0.668,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC11,0.076,0.298,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC12,0.046,0.156,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC17,0.244,0.243,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC18,0.091,0.243,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC19,0.066,0.094,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC21,0.055,0.593,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC22,0.073,0.278,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC23,0.013,0.234,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC27,0.204,1.028,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC28,0.086,0.384,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC29,0.069,0.243,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC33,0.072,0.285,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC34,0.073,0.282,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC35,0.053,0.362,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC39,0.061,0.468,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC40,0.072,0.398,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC46,0.18,1.325,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC47,0.097,0.688,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC48,0.059,0.234,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC51,0.097,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC52,0.045,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC54,0.048,0.352,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC55,0.048,0.352,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC57,0.142,0.442,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC58,0.091,0.26,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC70,0.274,1.112,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC71,0.2,0.943,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC72,0.102,0.456,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC73,0.117,1.03,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC74,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC75,0.059,0.284,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC76,0.062,0.544,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC77,0.069,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC78,0.065,0.583,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC79,0.066,0.221,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC80,0.043,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC82,0.242,1.231,1.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC83,0.114,0.54,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC84,0.044,0.345,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC85,0.082,0.336,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC86,0.131,0.258,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC87,0.116,0.258,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
