category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
F0_34,0.0,0.244,0.0,0.318,0.0,0.344,1.031,0.0,0.0,0.0,0.0
F35_44,0.0,0.303,0.0,0.306,0.0,0.383,0.999,0.0,0.0,0.0,0.0
F45_54,0.0,0.322,0.0,0.338,0.0,0.374,1.007,0.0,0.0,0.0,0.0
F55_59,0.0,0.35,0.0,0.388,0.0,0.371,0.986,0.0,0.0,0.0,0.0
F60_64,0.0,0.411,0.0,0.449,0.0,0.395,1.028,0.0,0.0,0.0,0.0
F65_69,0.312,0.0,0.425,0.0,0.341,0.0,1.2,0.0,0.0,0.0,0.0
F70_74,0.374,0.0,0.511,0.0,0.406,0.0,1.092,0.0,0.0,0.0,0.0
F75_79,0.448,0.0,0.611,0.0,0.484,0.0,0.995,0.0,0.0,0.0,0.0
F80_84,0.537,0.0,0.739,0.0,0.552,0.0,0.86,0.0,0.0,0.0,0.0
F85_89,0.664,0.0,0.917,0.0,0.678,0.0,0.749,0.0,0.0,0.0,0.0
F90_94,0.797,0.0,1.037,0.0,0.817,0.0,0.626,0.0,0.0,0.0,0.0
F95_GT,0.816,0.0,1.094,0.0,0.913,0.0,0.456,0.0,0.0,0.0,0.0
M0_34,0.0,0.155,0.0,0.225,0.0,0.33,1.049,0.0,0.0,0.0,0.0
M35_44,0.0,0.19,0.0,0.204,0.0,0.267,1.074,0.0,0.0,0.0,0.0
M45_54,0.0,0.221,0.0,0.281,0.0,0.3,1.008,0.0,0.0,0.0,0.0
M55_59,0.0,0.271,0.0,0.372,0.0,0.307,1.055,0.0,0.0,0.0,0.0
M60_64,0.0,0.303,0.0,0.486,0.0,0.343,1.039,0.0,0.0,0.0,0.0
M65_69,0.3,0.0,0.492,0.0,0.334,0.0,1.269,0.0,0.0,0.0,0.0
M70_74,0.379,0.0,0.582,0.0,0.409,0.0,1.323,0.0,0.0,0.0,0.0
M75_79,0.466,0.0,0.692,0.0,0.491,0.0,1.331,0.0,0.0,0.0,0.0
M80_84,0.561,0.0,0.816,0.0,0.546,0.0,1.189,0.0,0.0,0.0,0.0
M85_89,0.694,0.0,1.009,0.0,0.679,0.0,1.129,0.0,0.0,0.0,0.0
M90_94,0.857,0.0,1.186,0.0,0.822,0.0,0.964,0.0,0.0,0.0,0.0
M95_GT,0.976,0.0,1.268,0.0,1.038,0.0,0.781,0.0,0.0,0.0,0.0
OriginallyDisabled_Female,0.244,0.0,0.172,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Male,0.152,0.0,0.192,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0
LTIMCAID,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0
HCC1,0.312,0.288,0.585,0.5,0.55,0.232,1.747,0.0,0.0,0.0,0.0
HCC2,0.455,0.532,0.596,0.811,0.409,0.417,0.346,0.0,0.0,0.0,0.0
HCC6,0.435,0.704,0.548,0.919,0.482,0.765,0.58,0.0,0.0,0.0,0.0
HCC8,2.625,2.644,2.542,2.767,2.442,2.582,1.143,0.0,0.0,0.0,0.0
HCC9,0.97,0.927,0.973,1.025,0.955,0.879,0.727,0.0,0.0,0.0,0.0
HCC10,0.677,0.656,0.713,0.761,0.667,0.577,0.401,0.0,0.0,0.0,0.0
HCC11,0.301,0.352,0.332,0.361,0.325,0.4,0.293,0.0,0.0,0.0,0.0
HCC12,0.146,0.202,0.159,0.19,0.152,0.182,0.199,0.0,0.0,0.0,0.0
HCC17,0.318,0.371,0.346,0.431,0.354,0.423,0.441,0.0,0.0,0.0,0.0
HCC18,0.318,0.371,0.346,0.431,0.354,0.423,0.441,0.0,0.0,0.0,0.0
HCC19,0.104,0.128,0.097,0.16,0.098,0.136,0.16,0.0,0.0,0.0,0.0
HCC21,0.545,0.753,0.752,0.845,0.562,0.709,0.26,0.0,0.0,0.0,0.0
HCC22,0.273,0.227,0.41,0.373,0.244,0.242,0.511,0.0,0.0,0.0,0.0
HCC23,0.228,0.444,0.228,0.353,0.193,0.351,0.337,0.0,0.0,0.0,0.0
HCC27,0.962,1.11,1.242,1.349,0.889,0.963,0.962,0.0,0.0,0.0,0.0
HCC28,0.39,0.394,0.342,0.491,0.46,0.324,0.39,0.0,0.0,0.0,0.0
