category,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST,NE_DIAL_ND_PBD_NORIGDIS,NE_DIAL_FBD_NORIGDIS,NE_DIAL_ND_PBD_ORIGDIS,NE_DIAL_FBD_ORIGDIS,NE_GRAFT_ND_PBD_NORIGDIS,NE_GRAFT_FBD_NORIGDIS,NE_GRAFT_ND_PBD_ORIGDIS,NE_GRAFT_FBD_ORIGDIS
F0_34,0.644,0.0,0.198,0.0,0.308,1.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F35_44,0.63,0.0,0.25,0.0,0.291,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F45_54,0.564,0.0,0.292,0.0,0.328,1.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F55_59,0.57,0.0,0.329,0.0,0.349,1.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F60_64,0.569,0.0,0.373,0.0,0.423,1.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F65_69,0.63,0.301,0.0,0.402,0.0,1.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F70_74,0.624,0.359,0.0,0.464,0.0,1.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F75_79,0.617,0.42,0.0,0.545,0.0,1.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F80_84,0.661,0.474,0.0,0.608,0.0,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F85_89,0.629,0.57,0.0,0.714,0.0,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F90_94,0.629,0.678,0.0,0.803,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F95_GT,0.629,0.686,0.0,0.804,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M0_34,0.616,0.0,0.102,0.0,0.187,1.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M35_44,0.604,0.0,0.155,0.0,0.2,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M45_54,0.551,0.0,0.197,0.0,0.257,1.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M55_59,0.557,0.0,0.249,0.0,0.35,1.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M60_64,0.569,0.0,0.298,0.0,0.425,1.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M65_69,0.577,0.303,0.0,0.486,0.0,1.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M70_74,0.551,0.358,0.0,0.57,0.0,1.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M75_79,0.601,0.451,0.0,0.646,0.0,1.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M80_84,0.635,0.512,0.0,0.714,0.0,1.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M85_89,0.635,0.599,0.0,0.825,0.0,1.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M90_94,0.635,0.73,0.0,0.906,0.0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M95_GT,0.635,0.825,0.0,0.965,0.0,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Female,0.024,0.219,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Male,0.0,0.125,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Originally_ESRD_Female,-0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Originally_ESRD_Male,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTI_Aged,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTI_NonAged,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBDual_Female_Aged,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
